,cleaned_body,compound_score,pos_score,neu_score,neg_score
112,inflight staff flight excellent service professional however cannot said china southern administration route flight guangzhou rome changed direct flight guangzhou rome additional domestic leg within china meant flew guangzhou wuhan rome official notification email opt change sent flight brisbane guangzhou effect made decision changed flight impossible consequently arrival guangzhou normal transit situation international sector became horrific nightmare involving moving many level additional security added domestic leg passport taken away given chinese person chinese ethnicity lost period time need try find passport loss purchased duty free item abuse ground staff dreadful flying experience life believe email sent first leg flight incredibly cynical exercise china southern airline deceiving customer disgusting attempt lie passenger flight change flown satisfactorily china southern past unless remediation occurs airline paying consumer never fly consumer beware customer beware flight staff excellent,-0.8439,0.098,0.748,0.154
113,seat seemed much size economy seat seat felt hard hour felt quite uncomfortable would recommend cushion piece memory foam tall found leg space ok neighbour taller felt cramped seat recline fine passenger behind complained asked raise chair little person front fully reclined almost full journey asked tv screen seat front little small aisle space good would travel dreamliner cushion instead neck roll,0.3961,0.135,0.768,0.098
114,great seat china southern airline boeing aircraft nice leg room seat recline well manage get rest wide seat help sleep bother person next aisle wide enough people move since seating aisle seat bother people moving around entertainment standard day big small responsive touch screen plenty choice movie music power suply charge phone using usb port,0.9042,0.247,0.683,0.07
115,sat seat aisle boeing guangzhou vancouver comfortable seat plenty leg room storage seat large overhead bin flight full everyone able fit luggage overhead bin without issue even bothered person front reclining seat return flight original flight boeing must say comfortable aircraft everything bit bigger seat definitely comfortable ok well comfort level,0.9725,0.39,0.61,0.0
116,seat give enough stretch space seat includes tv screen front tv program relatively old le interesting might bring laptop thing liked usb charger help charge phone,0.802,0.263,0.737,0.0
117,boeing seat narrow tight make matter worse crammed close row ahead average sized knee seat front aisle seat bashed trolley people passing comparison boeing spacious,-0.4588,0.04,0.846,0.114
118,entire seating room plenty leg room suitable tall person taller cm connectivity port available convenient head rest bit hard help preventing head movement sleeping thing mention screen angle adjustable front passenger decided change seat angle viewing angle screen get uncomfortable,-0.1027,0.062,0.822,0.116
119,flew china southern airline dubai auckland via guangzhou bad airline price however problem audio seat reclining dampened experience somewhat lack padding seat actually give room move economy seat sat back seat center change seat space next good would recommend chinese meal western food pretty bad get pretty big glass drink compared airline staff speak much english friendly helpful guangzhou bad spot stop short break return journey upgraded premium economy legroom slightly bigger seat much else different might try business class next time price much economy flight star awarded economy seat frill airline surprisingly good price fly,0.8016,0.206,0.653,0.14
120,seat decent condition due newness headrest foldable side keep head neatly place try sleep seat bottom hard,0.25,0.128,0.798,0.074
121,seat good provide sufficient legroom width,0.4404,0.367,0.633,0.0
122,comfortable seat good size ptv screen recline normal could see premium economy seat front u little different maybe inch legroom area full lot empty seat could spread lie,0.6597,0.194,0.75,0.056
123,business class product awful selection food given bland pasta despite gluten intolerance cabin ac faulty stuck lowest setting cabin crew best could customer service response pathetic,-0.8126,0.111,0.529,0.36
124,business class seat plenty room liked style decent privacy biggest complaint comfort bed mode lumpy lumbar protruding back invested lot seat could great would time work bit lay flat bed protrudes back ok tried using extra blanket make bed comfy work please air france improve comfort cushion bed mode,0.9442,0.309,0.656,0.035
125,done online check economy seat fairly forward boarding gate paris changed seat somewhere back plane width narrow seat small rigid guy front reclined seat felt claustrophobic sake entertainment hr plus flight delayed hr tiny screen little content malfunctioning headphone audio ear high expectation worst experience,-0.5719,0.055,0.799,0.146
126,paris boeing enter cabin get thrown back good way entertainment system old couple movie screen barely bigger phone terrible quality need navigate using bulky remote plug charge phone seat almost recline quite narrow worst part air france make pay select certain seat front section seat emergency seat etc price go chf seat leg air france ashamed offer cabin price new cabin,-0.759,0.104,0.706,0.191
